character,Collection,cur_price,CS_Rarity
,Plush Pepes,12337.0,Classified (Red)
,Heart Locket,5314.0,Restricted (Pink)
Gold bone,DOGS Rewards,3269.0,Mil-Spec (Purple)
,Durov's Cap,2075.0,Mil-Spec (Purple)
,Precious Peach,1684.0,Mil-Spec (Purple)
,Heroic Helmet,1233.0,Mil-Spec (Purple)
Not Cap,DOGS OG,1036.0,Mil-Spec (Purple)
,Nail Bracelet,755.0,Mil-Spec (Purple)
Pengu x Baby Shark,Pudgy & Friends,618.0,Mil-Spec (Purple)
,Gem Signet,538.0,Industrial Grade (Blue)
,Mini Oscar,535.0,Industrial Grade (Blue)
,Ion Gem,523.0,Industrial Grade (Blue)
,Perfume,473.0,Industrial Grade (Blue)
,Bonded Ring,468.0,Industrial Grade (Blue)
Cool Blue Pengu,Pudgy Penguins,445.0,Industrial Grade (Blue)
,Loot Bag,428.0,Industrial Grade (Blue)
Sheikh,DOGS OG,395.0,Industrial Grade (Blue)
,Magic Potion,372.0,Industrial Grade (Blue)
GENESIS ENERGY,CHIMPERS,328.0,Industrial Grade (Blue)
Pengu x NASCAR,Pudgy & Friends,315.0,Industrial Grade (Blue)
,Astral Shard,302.0,Industrial Grade (Blue)
,Genie Lamp,292.0,Industrial Grade (Blue)
Shao,Azuki,270.0,Industrial Grade (Blue)
,Scared Cat,237.0,Industrial Grade (Blue)
,Sharp Tongue,201.0,Industrial Grade (Blue)
,Swiss Watch ,196.0,Industrial Grade (Blue)
,Kissed Frog,180.0,Industrial Grade (Blue)
3278,Bored Stickers,179.0,Industrial Grade (Blue)
Pengu CNY,Pudgy Penguins,175.0,Industrial Grade (Blue)
Cute pack,Not Pixel,170.0,Industrial Grade (Blue)
Flags,Notcoin,166.0,Industrial Grade (Blue)
Blue Pengu,Pudgy Penguins,158.0,Industrial Grade (Blue)
Silver bone,DOGS Rewards,153.0,Industrial Grade (Blue)
Random memes,Not Pixel,147.0,Industrial Grade (Blue)
Bored Ape Originals,Bored Ape Yacht Club,136.0,Industrial Grade (Blue)
,Electric Skull,131.0,Industrial Grade (Blue)
,Signet Ring,127.0,Industrial Grade (Blue)
,Vintage Cigar,121.0,Industrial Grade (Blue)
,Neko Helmet,121.0,Industrial Grade (Blue)
Lil Pudgys x Baby Shark,Lil Pudgys,96.0,Industrial Grade (Blue)
OG Icons,Doodles,85.0,Industrial Grade (Blue)
Pengu Valentines,Pudgy Penguins,85.0,Industrial Grade (Blue)
,Eternal Rose,81.0,Industrial Grade (Blue)
,Voodoo Doll,79.0,Industrial Grade (Blue)
9780,Bored Stickers,79.0,Consumer Grade (Light Blue)
,Toy Bear,75.0,Consumer Grade (Light Blue)
,Diamond Ring,69.0,Consumer Grade (Light Blue)
6527,Bored Stickers,64.0,Consumer Grade (Light Blue)
,Mad Pumpkin,64.0,Consumer Grade (Light Blue)
